run_id,architecture,label,seed,params,accuracy,f1_macro,precision_macro,recall_macro,roc_auc_macro,train_time_sec,stem_depth,s4_layers
richer_d1_s40__main__seed30485,richer_d1_s40,Richer stem depth 1 + 0 S4D,30485,2180,0.597,0.5957604995361866,0.609367091533862,0.598290484599013,0.8432517662055115,2427.893655061722,1,0
richer_d1_s41__main__seed30485,richer_d1_s41,,30485,10500,0.801,0.801187988664813,0.8017859609063733,0.8012573842684628,0.9571105466797176,4997.2802312374115,1,1
richer_d1_s42__main__seed30485,richer_d1_s42,,30485,18820,0.814,0.814708767902552,0.8148988317345244,0.8145382505593626,0.9594441603787239,556.5679452419281,1,2
richer_d2_s40__main__seed30485,richer_d2_s40,,30485,19844,0.8405,0.8400216366726656,0.8406730959222656,0.8410125583725081,0.9686928473249756,763.2544147968292,2,0
richer_d2_s41__main__seed30485,richer_d2_s41,,30485,28164,0.8535,0.8537953579638959,0.8537486328674833,0.8542641896843403,0.9744763428697105,1079.7312452793121,2,1
richer_d2_s42__main__seed30485,richer_d2_s42,,30485,36484,0.8475,0.8477882198530472,0.84751714372808,0.8480905782483961,0.9733829310107102,1424.6190025806427,2,2
richer_d3_s40__main__seed30485,richer_d3_s40,,30485,29156,0.883,0.8830587311471843,0.8831820626682129,0.8834138635194236,0.9825235134696441,1039.3496911525726,3,0
richer_d3_s41__main__seed30485,richer_d3_s41,,30485,37476,0.877,0.8777057850024321,0.8778993837542232,0.87767624307131,0.9783898511750715,1329.1761841773987,3,1
richer_d3_s42__main__seed30485,richer_d3_s42,,30485,45796,0.8765,0.8772400969021471,0.8774986756437757,0.8770901913721729,0.9814706269874223,1593.9051682949066,3,2
richer_d4_s40__main__seed30485,richer_d4_s40,,30485,38468,0.8945,0.8949929542302412,0.8951658317387102,0.8949117615244288,0.9853823755753655,1618.4280166625977,4,0
richer_d4_s41__main__seed30485,richer_d4_s41,,30485,46788,0.87,0.8707381264211395,0.8721829344653514,0.8702648591653608,0.9792079914952749,1822.886325597763,4,1
richer_d4_s42__main__seed30485,richer_d4_s42,,30485,55108,0.8955,0.8957809881176602,0.8956461326528276,0.8961256953052522,0.9847976277076358,2090.7276604175568,4,2
richer_rawpix_s4d2__main__seed30485,richer_rawpix_s4d2,,30485,17156,0.7845,0.7846952527129873,0.7849592716430995,0.7847793441229896,0.9446704894489955,2947.1660566329956,0,2
